total_people,tap_closure_days_per_week,avg_daily_usage,hourly_usage,weekly_usage,monthly_usage,remaining_units,usage_per_person,usage_spike,consumption_risk,leak_detected
3,4,139.72,4.09,1201.22,3932.39,29.42,46.57,0.7294,Low,1
7,3,368.23,30.74,2109.81,10858.02,4.73,52.6,1.9627,Low,1
5,2,287.5,6.42,2120.02,7611.2,451.87,57.5,0.5004,Low,0
4,4,231.78,7.11,1731.56,7585.75,371.02,57.94,0.6663,Low,1
2,3,99.11,7.53,655.19,2760.9,156.37,49.56,1.8336,Low,0
2,3,51.7,1.02,367.05,1462.34,91.31,25.85,0.4292,Low,0
1,1,47.49,0.14,337.57,1408.01,45.33,47.49,0.0596,Low,0
6,3,384.35,28.32,2233.57,12134.06,119.13,64.06,1.66,Low,0
4,3,290.79,0.24,1721.73,9026.6,586.73,72.7,0.01,Medium,0
5,2,360.32,24.06,1900.18,9711.56,361.56,72.06,1.6162,Medium,0
1,5,65.31,0.23,484.43,1920.36,39.11,65.31,0.1586,Low,0
8,3,350.61,10.08,2390.21,11736.19,6.36,43.83,0.6808,Low,1
6,3,505.52,76.11,3936.7,16299.6,38.36,84.25,3.5606,Medium,1
2,3,144.27,0.4,954.47,4464.44,19.32,72.14,0.0547,Medium,0
2,1,268.2,26.17,1957.43,7330.59,1512.31,134.1,2.3026,High,0
2,4,144.0,5.27,1217.01,3833.92,792.04,72.0,0.8268,Medium,0
3,2,501.18,1.25,3259.77,14222.42,1656.09,167.06,0.1181,High,1
4,4,154.71,4.06,941.71,4902.75,359.91,38.68,0.6869,Low,0
3,3,241.66,5.03,1833.71,6437.78,51.53,80.55,0.5052,Medium,0
2,2,162.65,3.78,1192.48,4745.75,2539.95,81.32,0.5437,Medium,0
4,3,137.29,4.38,798.33,4196.78,148.62,34.32,0.7036,Low,0
2,4,101.93,8.88,912.41,3328.1,171.82,50.96,2.0716,Low,1
2,3,84.47,0.15,638.36,2503.19,7.88,42.24,0.01,Low,0
3,3,120.05,10.09,906.97,3892.9,129.25,40.02,2.0505,Low,1
3,2,249.36,28.82,1526.98,6681.02,11.23,83.12,2.6666,Medium,0
5,4,205.97,17.88,1394.98,5540.24,23.82,41.19,1.9463,Low,0
2,2,149.83,0.82,1324.87,4225.93,148.41,74.92,0.0655,Medium,0
4,3,258.55,0.29,2585.4,7924.61,995.33,64.64,0.01,Low,0
4,1,440.56,15.08,2925.78,14175.28,480.07,110.14,0.9159,High,0
1,2,130.24,11.35,1010.63,3898.58,14.85,130.24,1.9885,High,0
4,3,204.66,19.35,1716.73,5822.16,5.48,51.16,2.1454,Low,1
2,2,114.03,0.34,845.92,3307.76,458.59,57.02,0.0647,Low,0
1,4,67.9,2.66,472.8,2000.02,52.0,67.9,0.8704,Low,0
7,3,348.59,45.19,3176.42,11591.32,118.21,49.8,3.091,Low,1
8,4,274.34,7.49,2404.34,8735.14,578.99,34.29,0.5177,Low,0
5,3,243.41,1.29,1320.66,7024.19,22.45,48.68,0.0161,Low,0
3,0,188.48,8.88,1515.72,5216.58,123.68,62.83,1.1138,Medium,0
1,3,27.27,2.35,187.85,800.97,573.94,27.27,2.0884,Low,0
5,2,184.37,5.33,1860.3,5363.55,123.38,36.87,0.786,Low,0
3,3,58.48,4.59,346.52,1661.57,6.61,19.49,1.9848,Low,0
2,3,96.76,1.91,627.66,3010.97,23.23,48.38,0.5816,Low,0
3,3,149.41,4.22,980.96,4027.79,117.61,49.8,0.6337,Low,0
1,0,40.86,0.75,256.85,1233.37,87.06,40.86,0.4327,Low,0
6,4,281.12,19.01,2373.37,8095.93,75.21,46.85,1.5424,Low,0
2,3,110.05,0.45,619.63,3137.15,986.12,55.02,0.1637,Low,0
4,3,338.71,10.5,2653.95,9836.8,55.89,84.68,0.7035,Medium,0
3,2,262.78,31.56,1922.68,7605.4,136.75,87.59,2.9075,Medium,1
4,3,257.91,6.86,2012.59,8117.69,87.27,64.48,0.6454,Low,0
4,3,731.26,46.86,4696.2,24131.0,19.12,182.82,1.6066,High,1
2,4,93.84,0.61,894.6,2703.75,250.15,46.92,0.165,Low,0
8,3,495.91,15.87,4127.53,14431.36,112.13,61.99,0.7195,Low,0
5,3,273.82,21.37,2402.25,7708.63,390.28,54.76,1.8196,Low,0
7,2,496.11,45.92,2875.82,14979.47,46.5,70.87,2.1093,Medium,0
6,4,207.17,0.79,1546.92,5961.58,2254.01,34.53,0.1169,Low,0
4,3,280.45,22.12,1578.72,8408.94,2336.9,70.11,1.794,Low,0
7,4,746.52,29.22,7080.04,20801.69,121.75,106.65,1.1291,Medium,0
1,3,49.13,1.65,397.09,1573.84,13.21,49.13,0.9416,Low,0
2,2,121.62,9.44,828.87,3818.68,108.95,60.81,1.9725,Medium,0
1,3,57.53,1.58,408.29,1918.23,87.13,57.53,0.7,Low,1
3,3,228.52,0.3,1673.04,6291.79,2425.43,76.17,0.01,Medium,0
3,2,225.43,14.93,1353.62,6810.38,177.73,75.14,1.628,Medium,0
2,2,72.82,5.9,502.77,2272.22,60.5,36.41,1.8929,Low,0
6,4,421.67,44.07,2677.11,13300.29,145.01,70.28,2.5174,Medium,0
3,1,456.94,0.74,2862.35,13732.23,886.0,152.31,0.01,High,0
2,4,117.21,4.05,829.37,3355.15,79.63,58.6,0.7519,Low,0
4,2,231.15,7.02,2205.07,6700.84,34.86,57.79,0.6411,Low,0
2,5,140.56,6.94,1287.88,4703.61,36.43,70.28,1.131,Medium,1
5,5,98.91,7.37,781.21,3111.79,36.53,19.78,1.7155,Low,0
1,3,59.66,0.07,399.97,1840.73,295.56,59.66,0.1334,Low,0
9,5,366.46,13.42,2409.32,11454.72,2.67,40.72,0.9854,Low,1
5,4,433.34,32.68,2647.24,13188.85,74.22,86.67,1.82,Medium,0
2,1,77.7,3.41,699.67,2285.81,126.86,38.85,1.1697,Low,0
1,5,41.88,3.44,252.58,1124.91,131.23,41.88,1.8706,Low,0
5,1,614.66,15.25,4242.38,16530.76,2733.54,122.93,0.6192,High,0
5,2,288.74,28.65,1702.32,7809.76,276.25,57.75,2.3812,Low,0
5,3,283.74,0.76,1549.48,7990.59,22.64,56.75,0.0747,Low,0
5,1,388.28,0.45,2498.82,12687.83,3.71,77.66,0.01,Medium,1
1,2,58.02,2.1,452.23,1763.7,1.5,58.02,0.8429,Low,0
3,5,121.33,16.71,1145.59,4061.09,31.38,40.44,3.2855,Low,1
1,5,37.46,0.12,230.8,1034.63,301.24,37.46,0.2804,Low,0
6,4,216.06,23.06,1336.86,6691.9,6.57,36.01,2.6804,Low,1
4,3,190.14,0.45,1404.95,5513.83,10.55,47.54,0.0126,Low,0
3,4,430.45,35.79,3069.48,12595.54,212.84,143.48,2.0117,High,0
1,1,41.19,1.43,233.4,1221.93,6.36,41.19,0.8362,Low,0
3,5,174.02,8.23,1659.02,5708.6,119.01,58.01,1.2155,Low,1
3,3,158.94,13.31,1210.05,5243.41,591.18,52.98,1.8701,Low,1
5,4,286.54,5.07,1620.33,8425.09,130.59,57.31,0.393,Low,0
4,3,159.44,13.44,1031.63,4434.14,77.16,39.86,2.079,Low,0
6,5,93.34,3.32,692.59,2801.31,65.41,15.56,0.8858,Low,0
3,4,238.41,6.39,1846.56,6534.81,13.76,79.47,0.7226,Medium,0
1,4,33.73,2.53,214.1,1078.72,145.71,33.73,1.8793,Low,0
5,3,256.49,22.73,1649.9,8487.78,133.85,51.3,2.1183,Low,1
5,4,142.8,10.02,995.67,4249.78,76.56,28.56,1.6998,Low,0
4,4,195.55,6.74,1564.1,6331.07,137.27,48.89,0.7626,Low,0
5,2,210.33,6.47,1607.38,6074.95,98.91,42.07,0.7092,Low,0
3,3,176.93,14.79,1000.33,4849.24,136.48,58.98,1.994,Low,0
4,2,174.47,5.65,1158.94,4795.36,276.17,43.62,0.8716,Low,0
3,4,225.37,4.64,1700.91,6979.49,170.49,75.12,0.4942,Medium,0
1,1,59.55,1.68,425.22,1790.19,11.49,59.55,0.6829,Medium,0
1,5,51.74,1.67,373.45,1372.73,8.83,51.74,0.6837,Low,0
1,3,42.91,0.77,346.55,1289.38,142.67,42.91,0.2789,Low,0
4,2,213.6,25.88,1637.42,6931.58,1149.17,53.4,2.9097,Low,1
3,4,191.07,0.77,1082.37,5813.06,89.39,63.69,0.01,Low,0
4,1,294.92,9.21,2307.53,9761.09,21.13,73.73,0.7352,Medium,1
6,3,184.63,5.71,1645.45,5873.4,135.37,30.77,0.5623,Low,0
2,4,98.21,6.06,777.77,3061.09,52.7,49.1,1.5228,Low,0
3,2,220.04,8.13,1809.09,7037.27,1983.72,73.35,0.8905,Medium,0
5,3,272.56,31.79,2134.77,8076.22,42.66,54.51,2.7892,Low,0
2,3,125.86,8.36,794.03,3694.22,352.16,62.93,1.6348,Low,0
1,5,51.78,5.31,380.44,1449.12,1219.42,51.78,2.3703,Low,0
2,1,151.91,5.58,1052.25,4592.8,6.24,75.96,0.9053,Medium,0
2,2,115.04,3.3,700.41,3378.95,81.92,57.52,0.686,Low,0
7,3,536.07,19.21,3455.92,17992.33,42.5,76.58,0.949,Medium,1
5,3,310.91,0.73,1799.22,9715.1,222.61,62.18,0.01,Low,0
4,3,205.15,0.92,2056.39,6480.59,2860.78,51.29,0.142,Low,0
6,2,153.9,8.76,1039.38,4959.61,455.89,25.65,1.3521,Low,0
5,3,361.25,31.1,2135.84,9572.56,56.77,72.25,2.0266,Medium,0
2,4,128.53,2.73,892.73,3526.12,364.93,64.26,0.547,Low,0
6,2,344.9,0.97,2379.43,10371.06,2763.63,57.48,0.118,Low,0
4,2,233.49,7.42,1582.08,7498.94,5.41,58.37,0.7721,Medium,1
5,3,349.43,11.04,2252.33,10619.64,14.45,69.89,0.6389,Medium,0
6,1,238.87,6.71,1907.55,7977.38,59.39,39.81,0.6868,Low,1
3,3,270.9,10.23,2072.58,8567.72,1.93,90.3,1.0181,Medium,1
1,2,70.71,0.15,405.88,1994.45,9.71,70.71,0.0509,Medium,0
2,3,237.65,26.18,1325.13,7475.36,425.64,118.82,2.5989,Medium,0
3,3,147.71,8.92,894.53,4323.57,274.18,49.24,1.379,Low,1
5,3,222.98,19.03,1678.05,6933.75,2043.25,44.6,2.134,Low,0
6,4,373.95,41.43,3146.05,10896.87,102.31,62.32,2.5906,Low,0
1,5,32.57,3.31,224.24,1029.45,30.58,32.57,2.4941,Low,0
4,3,330.75,0.42,2216.06,9912.69,2372.19,82.69,0.01,Medium,0
3,3,158.51,4.87,1102.29,4294.17,375.52,52.84,0.6954,Low,0
2,1,53.45,1.38,347.45,1507.08,6.14,26.72,0.6522,Low,0
